net,length_um
net11,191.26
net12,161.07
net2,118.34
net8,118.34
net16,114.42
net4,107.8
net3,104.18
net15,101.15
_100_,96.68
clknet_2_1__leaf_clk,95.9
net5,95.84
net7,88.62
_045_,86.92
clk,77.97
net13,77.33
net6,74.56
_037_,66.62
_050_,65.955
net14,62.79
clknet_2_2__leaf_clk,62.76
clknet_0_clk,62.6
net9,58.94
state\[0\],56.4
_107_,53.275
_098_,51.895
net1,49.66
net10,47.52
bit_idx\[0\],47.46
clknet_2_0__leaf_clk,46.7
state\[2\],46.08
bit_idx\[1\],40.96
clk_cnt\[0\],40.04
_059_,39.06
_049_,38.52
clk_cnt\[5\],38.1
clknet_2_3__leaf_clk,36.14
_048_,32.04
data_reg\[6\],28.445
data_reg\[4\],25.76
clk_cnt\[1\],25.7
data_reg\[7\],25.6
_057_,24.86
clk_cnt\[7\],24.68
_036_,24.17
_039_,22.66
_016_,22.2
_041_,21.74
clk_cnt\[6\],20.92
clk_cnt\[14\],19.8
clk_cnt\[4\],19.7
bit_idx\[2\],19.24
clk_cnt\[8\],18.92
_071_,18.88
_108_,18.75
_077_,18.67
_103_,18.6
clk_cnt\[3\],18.58
_095_,18.46
_069_,18.02
data_reg\[1\],16.86
_018_,16.68
clk_cnt\[13\],16.56
_075_,15.67
data_reg\[2\],15.53
_102_,15.48
data_in[3],15.16
_042_,14.5
_055_,14.26
_096_,14.06
_034_,13.46
clk_cnt\[2\],13.375
clk_cnt\[9\],12.8
_070_,12.76
_076_,12.66
clk_cnt\[10\],12.5
_099_,12.4
data_reg\[3\],12.26
_001_,12.14
data_reg\[0\],11.72
_020_,11.28
clk_cnt\[11\],11
_094_,10.84
data_in[6],9.74
data_in[0],9.64
data_in[4],9.64
net26,9.62
tx_out,9.52
net37,9.52
_068_,9.4
data_in[1],9.4
net34,9.4
clk_cnt\[15\],9.28
net28,8.9
_033_,8.84
_008_,8.74
rst_n,8.72
_038_,8.66
_013_,8.65
_111_,8.4
net23,8.14
_074_,8.1
state\[1\],7.98
_023_,7.945
_091_,7.9
_012_,7.82
_061_,7.78
_025_,7.68
_063_,7.56
_079_,7.52
parity_bit,7.4
_046_,7.18
_043_,7.1
_082_,7.1
_000_,7.06
_064_,6.835
_029_,6.8
_040_,6.78
net25,6.62
_078_,6.6
_002_,6.42
data_reg\[5\],6.18
_051_,6.14
_073_,6.14
tx_busy,6.09
_066_,6.06
_009_,5.86
net19,5.86
_084_,5.8
_056_,5.68
_105_,5.62
_026_,5.5
_065_,5.36
_072_,5.34
data_in[2],5.29
_109_,5.26
_044_,5.22
_093_,5.22
_104_,5
_087_,4.92
_062_,4.88
net32,4.88
_027_,4.8
clk_cnt\[12\],4.6
_052_,4.48
_053_,4.42
net41,4.14
_005_,4.12
_028_,4.12
_106_,4.12
data_in[5],3.93
data_in[7],3.93
tx_start,3.93
_089_,3.88
_101_,3.88
net35,3.78
_097_,3.76
net31,3.64
net29,3.56
_032_,3.54
net17,3.54
_047_,3.44
_019_,3.2
_006_,3.08
_014_,3.08
_058_,2.96
net24,2.76
_031_,2.74
_003_,2.64
net21,2.62
net18,2.3
net20,2.3
net30,2.3
net33,2.3
_004_,2.28
_017_,2.28
_054_,2.28
_015_,2.18
_092_,2.18
_007_,2.16
_011_,2.16
_080_,2.16
_110_,2.16
_060_,2.06
_083_,2.06
_085_,2.06
_086_,2.06
_024_,1.84
net36,1.84
net38,1.84
net39,1.84
net40,1.84
_021_,1.82
_030_,1.82
_010_,1.7
_022_,1.7
_090_,1.6
net42,1.48
_088_,1.14
_067_,1.02
_081_,0.92
_035_,0.8
net22,0.46
net27,0.46
